"ID","MAPTECH__FILCOLOR__C","MAPTECH__GYOUSEIKUBUN__C","MAPTECH__LAYERFILOPTICALLY__C","MAPTECH__LINECOLOR__C","MAPTECH__MAPTECHUSERID__C","MAPTECH__POLYGON_LATLNGINFO__C"
"a177F00000GlRs5QAF","ffffff","27osaka_s.geojson","0","07e4ca","a1F7F00000EQvZQUA1","[
 {
  ""lat"": 34.8279160926564,
  ""lng"": 135.47993341315785
 },
 {
  ""lat"": 34.823019260162425,
  ""lng"": 135.47298112739125
 },
 {
  ""lat"": 34.81917909432297,
  ""lng"": 135.4753843866686
 },
 {
  ""lat"": 34.81565584893777,
  ""lng"": 135.49049058784047
 },
 {
  ""lat"": 34.81854492127351,
  ""lng"": 135.4929796778063
 },
 {
  ""lat"": 34.82756381226856,
  ""lng"": 135.48757234443227
 },
 {
  ""lat"": 34.82520349479862,
  ""lng"": 135.4823366724352
 }
]"
"a177F00000GlRsKQAV","e9e2e2","12tibaken_s.geojson","0","77ea57","a1F7F00000EQvZPUA1","[
 {
  ""lat"": 34.422650200959296,
  ""lng"": 135.39354630904884
 }
]"
"a177F00000GlRseQAF","ffffff","27osaka_s.geojson","0","07e4ca","a1F7F00000EQvZQUA1","[
 {
  ""lat"": 34.839639084764855,
  ""lng"": 135.47875948804946
 },
 {
  ""lat"": 34.83858238954463,
  ""lng"": 135.47024079221816
 },
 {
  ""lat"": 34.83296406552323,
  ""lng"": 135.47077723402114
 },
 {
  ""lat"": 34.82998743128917,
  ""lng"": 135.47384568113418
 },
 {
  ""lat"": 34.830780036715105,
  ""lng"": 135.47672100919814
 },
 {
  ""lat"": 34.831924897750206,
  ""lng"": 135.47775097745986
 },
 {
  ""lat"": 34.83079765008237,
  ""lng"": 135.47929592985244
 },
 {
  ""lat"": 34.83560595843089,
  ""lng"": 135.48088379758926
 }
]"
"a177F00000GlRtDQAV","ffffff","27osaka_s.geojson","0","07e4ca","a1F7F00000EQvZQUA1","[
 {
  ""lat"": 34.84042693652812,
  ""lng"": 135.4629849562601
 },
 {
  ""lat"": 34.83933502835102,
  ""lng"": 135.46749106740512
 },
 {
  ""lat"": 34.834333199319744,
  ""lng"": 135.47047368382968
 },
 {
  ""lat"": 34.83299463014872,
  ""lng"": 135.46738377904452
 },
 {
  ""lat"": 34.83256311308015,
  ""lng"": 135.4641543993906
 },
 {
  ""lat"": 34.8332059846225,
  ""lng"": 135.46005598401584
 },
 {
  ""lat"": 34.8358302574805,
  ""lng"": 135.46042076444186
 }
]"
