"ID","MapTech__FILCOLOR__C","MapTech__GYOUSEIKUBUN__C","MapTech__LAYERFILOPTICALLY__C","MapTech__LINECOLOR__C","MapTech__MAPTECHUSERID__C","MapTech__POLYGON_LATLNGINFO__C"
"a17GA00000IUge8YAD","2418c3","14kanagawa_s.geojson","0","ff00ff","a1F7F00000ER0TQUA1","[
 {
  ""lat"": 35.596333760058705,
  ""lng"": 138.45799335413645
 },
 {
  ""lat"": 35.596717616211166,
  ""lng"": 138.4515345948286
 },
 {
  ""lat"": 35.589441484083174,
  ""lng"": 138.44720014506052
 },
 {
  ""lat"": 35.58905759303889,
  ""lng"": 138.46346506052683
 },
 {
  ""lat"": 35.59174479169304,
  ""lng"": 138.4635508912153
 },
 {
  ""lat"": 35.59380375300344,
  ""lng"": 138.46307882242868
 },
 {
  ""lat"": 35.59506004236426,
  ""lng"": 138.46207031183908
 }
]"
"a17GA00000IUgeDYAT","000000","24mie_s.geojson","0","0039e6","a1F7F00000D1wlWUAR","[
 {
  ""lat"": 36.09435820805491,
  ""lng"": 140.43097982231467
 },
 {
  ""lat"": 36.09494772595594,
  ""lng"": 140.44303903404563
 },
 {
  ""lat"": 36.09987176156038,
  ""lng"": 140.44269571129172
 }
]"
"a17GA00000IUgeIYAT","c8c1c1","08ibaraki_s.geojson","0","d992ca","a1F7F00000EQvKQUA1","[
 {
  ""lat"": 36.37328269452485,
  ""lng"": 140.51225902934036
 },
 {
  ""lat"": 36.30134194259515,
  ""lng"": 140.51090983060686
 }
]"
"a17GA00000IUgeNYAT","c8c1c1","08ibaraki_s.geojson","0","d992ca","a1F7F00000EQvKQUA1","[
 {
  ""lat"": 36.356403395869805,
  ""lng"": 140.51187986433692
 },
 {
  ""lat"": 36.35852890907147,
  ""lng"": 140.51885360777564
 },
 {
  ""lat"": 36.35384579085234,
  ""lng"": 140.52179330885596
 },
 {
  ""lat"": 36.350866247059884,
  ""lng"": 140.5217977081711
 },
 {
  ""lat"": 36.352438898663436,
  ""lng"": 140.51602559437106
 },
 {
  ""lat"": 36.35330297942801,
  ""lng"": 140.51656203617404
 },
 {
  ""lat"": 36.35542857729133,
  ""lng"": 140.5119271789963
 }
]"
"a17GA00000IUgeOYAT","2418c3","14kanagawa_s.geojson","0","ff00ff","a1F7F00000ER0TQUA1","[
 {
  ""lat"": 35.589531126955784,
  ""lng"": 138.4473078949557
 },
 {
  ""lat"": 35.58984521790756,
  ""lng"": 138.4383385880099
 },
 {
  ""lat"": 35.57920033786602,
  ""lng"": 138.44207222295864
 },
 {
  ""lat"": 35.57989840613971,
  ""lng"": 138.44567711187466
 },
 {
  ""lat"": 35.58056156536406,
  ""lng"": 138.44928200079067
 },
 {
  ""lat"": 35.58112001097808,
  ""lng"": 138.45168526006802
 },
 {
  ""lat"": 35.581224719097186,
  ""lng"": 138.45408851934536
 },
 {
  ""lat"": 35.58321414734885,
  ""lng"": 138.45383102727993
 },
 {
  ""lat"": 35.58338865624121,
  ""lng"": 138.45108444524868
 },
 {
  ""lat"": 35.58949622788508,
  ""lng"": 138.45159942937954
 },
 {
  ""lat"": 35.58960092505155,
  ""lng"": 138.44657833410366
 }
]"
"a17GA00000IUgeSYAT","c8c1c1","08ibaraki_s.geojson","0","d992ca","a1F7F00000EQvKQUA1","[
 {
  ""lat"": 36.34519857934368,
  ""lng"": 140.51168974520763
 },
 {
  ""lat"": 36.34283072873266,
  ""lng"": 140.51763352038463
 },
 {
  ""lat"": 36.33897633617244,
  ""lng"": 140.51709707858166
 },
 {
  ""lat"": 36.33868249573065,
  ""lng"": 140.52198942782482
 },
 {
  ""lat"": 36.33318574668659,
  ""lng"": 140.5219679701527
 },
 {
  ""lat"": 36.33545017770782,
  ""lng"": 140.51149662615856
 }
]"
"a17GA00000IUgeXYAT","000000","24mie_s.geojson","0","0039e6","a1F7F00000D1wlWUAR","[
 {
  ""lat"": 36.09721319179726,
  ""lng"": 140.47272192320895
 },
 {
  ""lat"": 36.09003485044012,
  ""lng"": 140.47443853697848
 },
 {
  ""lat"": 36.091907524439556,
  ""lng"": 140.48254953703952
 },
 {
  ""lat"": 36.09932842335095,
  ""lng"": 140.48014627776217
 }
]"
"a17GA00000IUgecYAD","c8c1c1","08ibaraki_s.geojson","0","d992ca","a1F7F00000EQvKQUA1","[
 {
  ""lat"": 36.331466203726485,
  ""lng"": 140.51150674407398
 },
 {
  ""lat"": 36.33122377694616,
  ""lng"": 140.51393146102345
 },
 {
  ""lat"": 36.327161362447974,
  ""lng"": 140.51620597426808
 },
 {
  ""lat"": 36.32531159716099,
  ""lng"": 140.51809424941456
 },
 {
  ""lat"": 36.32304687146174,
  ""lng"": 140.51738614623463
 },
 {
  ""lat"": 36.321231585788546,
  ""lng"": 140.52221412246143
 },
 {
  ""lat"": 36.314563242033294,
  ""lng"": 140.5221244979894
 },
 {
  ""lat"": 36.31504736376161,
  ""lng"": 140.51536533127188
 },
 {
  ""lat"": 36.31885107272673,
  ""lng"": 140.51566573868155
 },
 {
  ""lat"": 36.319473480158884,
  ""lng"": 140.51118108520865
 }
]"
"a17GA00000IUgehYAD","c8c1c1","08ibaraki_s.geojson","0","d992ca","a1F7F00000EQvKQUA1","[
 {
  ""lat"": 36.30973486510957,
  ""lng"": 140.5110636855301
 },
 {
  ""lat"": 36.306899059000216,
  ""lng"": 140.5135313178238
 },
 {
  ""lat"": 36.30653593003772,
  ""lng"": 140.5209342147049
 },
 {
  ""lat"": 36.30689349597965,
  ""lng"": 140.51351713737012
 }
]"
"a17GA00000IUgemYAD","2418c3","14kanagawa_s.geojson","0","ff00ff","a1F7F00000ER0TQUA1","[
 {
  ""lat"": 35.589381681000035,
  ""lng"": 138.45146167512092
 },
 {
  ""lat"": 35.58334390416876,
  ""lng"": 138.45129001374397
 },
 {
  ""lat"": 35.58292508195413,
  ""lng"": 138.465881230785
 },
 {
  ""lat"": 35.58875349422721,
  ""lng"": 138.46596706147346
 },
 {
  ""lat"": 35.58903268895696,
  ""lng"": 138.46347797150764
 }
]"
"a17GA00000IUgerYAD","2418c3","14kanagawa_s.geojson","0","ff00ff","a1F7F00000ER0TQUA1","[
 {
  ""lat"": 35.583214803578116,
  ""lng"": 138.4538396939889
 },
 {
  ""lat"": 35.58139988856895,
  ""lng"": 138.45416155907068
 },
 {
  ""lat"": 35.57993396564985,
  ""lng"": 138.4588822469369
 },
 {
  ""lat"": 35.579986320501845,
  ""lng"": 138.4656199559823
 },
 {
  ""lat"": 35.5829006866161,
  ""lng"": 138.46589890571985
 },
 {
  ""lat"": 35.583319508958304,
  ""lng"": 138.4536036595956
 }
]"
"a17GA00000IUgewYAD","2418c3","14kanagawa_s.geojson","0","ff00ff","a1F7F00000ER0TQUA1","[
 {
  ""lat"": 35.60463772581486,
  ""lng"": 138.42519664765078
 },
 {
  ""lat"": 35.60449815578588,
  ""lng"": 138.43614006043154
 },
 {
  ""lat"": 35.60310244210659,
  ""lng"": 138.44227695465761
 },
 {
  ""lat"": 35.60282329644939,
  ""lng"": 138.44734096527773
 },
 {
  ""lat"": 35.59985731370451,
  ""lng"": 138.45150375366885
 },
 {
  ""lat"": 35.60059009613643,
  ""lng"": 138.45322036743838
 },
 {
  ""lat"": 35.59640267758012,
  ""lng"": 138.45635318756777
 },
 {
  ""lat"": 35.59664694967983,
  ""lng"": 138.4516754150458
 },
 {
  ""lat"": 35.59762403062367,
  ""lng"": 138.45094585419375
 },
 {
  ""lat"": 35.599229209136794,
  ""lng"": 138.4428348541327
 },
 {
  ""lat"": 35.59570475318755,
  ""lng"": 138.4442939758368
 },
 {
  ""lat"": 35.59389012128658,
  ""lng"": 138.44922924042422
 },
 {
  ""lat"": 35.58987684695733,
  ""lng"": 138.44699764252383
 },
 {
  ""lat"": 35.590016442485215,
  ""lng"": 138.4379854202338
 },
 {
  ""lat"": 35.591063401185735,
  ""lng"": 138.43141937256533
 },
 {
  ""lat"": 35.595181305899445,
  ""lng"": 138.43502426148135
 },
 {
  ""lat"": 35.597589135081066,
  ""lng"": 138.4298315048285
 },
 {
  ""lat"": 35.60502154213926,
  ""lng"": 138.42493915558535
 }
]"
