"ID","MapTech__FILCOLOR__C","MapTech__GYOUSEIKUBUN__C","MapTech__LAYERFILOPTICALLY__C","MapTech__LINECOLOR__C","MapTech__MAPTECHUSERID__C","MapTech__POLYGON_LATLNGINFO__C"
"a17GA00000GRUI9YAP","000000","28hyogo_s.geojson","0","17eedf","a1F7F00000EQvKPUA1","[
 {
  ""lat"": 34.74137923532192,
  ""lng"": 135.02505865598903
 },
 {
  ""lat"": 34.73489023132034,
  ""lng"": 135.02990808988795
 },
 {
  ""lat"": 34.730763806133304,
  ""lng"": 135.03415670896754
 },
 {
  ""lat"": 34.72459979706025,
  ""lng"": 135.0387096085257
 },
 {
  ""lat"": 34.72086086970598,
  ""lng"": 135.04012581488556
 },
 {
  ""lat"": 34.71516390206412,
  ""lng"": 135.02685437115187
 },
 {
  ""lat"": 34.714670034805394,
  ""lng"": 135.02423653515334
 },
 {
  ""lat"": 34.711918434660205,
  ""lng"": 135.02136120708937
 },
 {
  ""lat"": 34.71135399254592,
  ""lng"": 135.0181425562715
 },
 {
  ""lat"": 34.71061315642527,
  ""lng"": 135.01625428112501
 },
 {
  ""lat"": 34.71054260025819,
  ""lng"": 135.0139797678804
 },
 {
  ""lat"": 34.708461166253166,
  ""lng"": 135.0109756937837
 },
 {
  ""lat"": 34.70775558351752,
  ""lng"": 135.0091732493257
 },
 {
  ""lat"": 34.707296796382956,
  ""lng"": 135.00656581192948
 },
 {
  ""lat"": 34.70422742442975,
  ""lng"": 135.00364756852127
 },
 {
  ""lat"": 34.70302786881,
  ""lng"": 135.00218844681717
 },
 {
  ""lat"": 34.701404912935736,
  ""lng"": 134.99969935685135
 },
 {
  ""lat"": 34.70151075885447,
  ""lng"": 134.98892760544754
 },
 {
  ""lat"": 34.704728215777045,
  ""lng"": 134.99116987888638
 },
 {
  ""lat"": 34.706174706842056,
  ""lng"": 134.99155611698453
 },
 {
  ""lat"": 34.709364724226255,
  ""lng"": 134.99187194765202
 },
 {
  ""lat"": 34.714899685907795,
  ""lng"": 134.99486402141414
 },
 {
  ""lat"": 34.7153935517951,
  ""lng"": 134.99546483623348
 },
 {
  ""lat"": 34.716592928099786,
  ""lng"": 134.99994948970638
 },
 {
  ""lat"": 34.717594956604394,
  ""lng"": 135.00134423839413
 },
 {
  ""lat"": 34.72032873091987,
  ""lng"": 135.00336125957332
 },
 {
  ""lat"": 34.72171456214226,
  ""lng"": 135.00465831161728
 },
 {
  ""lat"": 34.72356639138278,
  ""lng"": 135.00789842010727
 },
 {
  ""lat"": 34.72713731036393,
  ""lng"": 135.01100234703947
 },
 {
  ""lat"": 34.73836499854898,
  ""lng"": 135.0176999015231
 }
]"
"a17GA00000GRUIEYA5","2418c3","11saitama_s.geojson","0","dfc272","a1F7F00000ER0TQUA1","[
 {
  ""lat"": 36.23289630961991,
  ""lng"": 139.16489849686704
 },
 {
  ""lat"": 36.23122550285037,
  ""lng"": 139.16397581696592
 },
 {
  ""lat"": 36.23231593582354,
  ""lng"": 139.16178713440976
 },
 {
  ""lat"": 36.2288368822498,
  ""lng"": 139.1592336714276
 },
 {
  ""lat"": 36.22563505135283,
  ""lng"": 139.16579919860172
 },
 {
  ""lat"": 36.22561774153297,
  ""lng"": 139.16794496581363
 },
 {
  ""lat"": 36.22662170475213,
  ""lng"": 139.17028385207462
 },
 {
  ""lat"": 36.2262582023163,
  ""lng"": 139.17303043410587
 },
 {
  ""lat"": 36.22712368152884,
  ""lng"": 139.1744037251215
 }
]"
"a17GA00000GRUIOYA5","2418c3","11saitama_s.geojson","0","dfc272","a1F7F00000ER0TQUA1","[
 {
  ""lat"": 36.249295928966916,
  ""lng"": 139.18203338027047
 },
 {
  ""lat"": 36.24296219609877,
  ""lng"": 139.1998861634736
 },
 {
  ""lat"": 36.23385871935427,
  ""lng"": 139.19387801528023
 },
 {
  ""lat"": 36.236039496650044,
  ""lng"": 139.18808444380807
 }
]"
"a17GA00000GRUIiYAP","2418c3","11saitama_s.geojson","0","dfc272","a1F7F00000ER0TQUA1","[
 {
  ""lat"": 36.22592403265209,
  ""lng"": 139.18042191639478
 },
 {
  ""lat"": 36.21809963251292,
  ""lng"": 139.18973454609448
 },
 {
  ""lat"": 36.22703184906121,
  ""lng"": 139.2023087419563
 },
 {
  ""lat"": 36.23418628126965,
  ""lng"": 139.19348850179583
 },
 {
  ""lat"": 36.23591705463093,
  ""lng"": 139.18872489858538
 }
]"
"a17GA00000GRUIxYAP","2418c3","11saitama_s.geojson","0","dfc272","a1F7F00000ER0TQUA1","[
 {
  ""lat"": 36.230429328193274,
  ""lng"": 139.1983189150515
 },
 {
  ""lat"": 36.237475622420455,
  ""lng"": 139.2063209204263
 },
 {
  ""lat"": 36.243104376552836,
  ""lng"": 139.19957328591465
 },
 {
  ""lat"": 36.24289670486724,
  ""lng"": 139.1997234896195
 }
]"
"a17GA00000GRUJ7YAP","2418c3","11saitama_s.geojson","0","dfc272","a1F7F00000ER0TQUA1","[
 {
  ""lat"": 36.226771961658024,
  ""lng"": 139.20244094069642
 },
 {
  ""lat"": 36.22268679732058,
  ""lng"": 139.2069041364972
 },
 {
  ""lat"": 36.22556028262962,
  ""lng"": 139.21342726882142
 },
 {
  ""lat"": 36.230233798299246,
  ""lng"": 139.21432849105042
 },
 {
  ""lat"": 36.23847235309663,
  ""lng"": 139.20505877669495
 },
 {
  ""lat"": 36.23885310564894,
  ""lng"": 139.20480128462953
 },
 {
  ""lat"": 36.23909540176214,
  ""lng"": 139.20471545394105
 }
]"
"a17GA00000GRUJHYA5","c8c1c1","28hyogo_s.geojson","0","d992ca","a1F7F00000EQvKQUA1","[
 {
  ""lat"": 35.605961947464806,
  ""lng"": 134.63123463704085
 },
 {
  ""lat"": 35.60594805588177,
  ""lng"": 134.63325165822005
 },
 {
  ""lat"": 35.60204006704421,
  ""lng"": 134.6354939849565
 },
 {
  ""lat"": 35.60201389683278,
  ""lng"": 134.6343781860063
 },
 {
  ""lat"": 35.603793451713635,
  ""lng"": 134.6312453658769
 },
 {
  ""lat"": 35.60456109062084,
  ""lng"": 134.63139556958174
 },
 {
  ""lat"": 35.605023415045785,
  ""lng"": 134.63193201138472
 }
]"
"a17GA00000GRUJMYA5","c8c1c1","28hyogo_s.geojson","0","d992ca","a1F7F00000EQvKQUA1","[
 {
  ""lat"": 35.60371494277394,
  ""lng"": 134.63138484074568
 },
 {
  ""lat"": 35.60373238921162,
  ""lng"": 134.63452838971114
 }
]"
"a17GA00000GRUJWYA5","c8c1c1","28hyogo_s.geojson","0","d992ca","a1F7F00000EQvKQUA1","[
 {
  ""lat"": 35.601479972648754,
  ""lng"": 134.61582167698845
 },
 {
  ""lat"": 35.60147124918485,
  ""lng"": 134.61868627621635
 },
 {
  ""lat"": 35.5996741953439,
  ""lng"": 134.6186219032
 },
 {
  ""lat"": 35.59966547168315,
  ""lng"": 134.6159933383654
 }
]"
"a17GA00000GRUJbYAP","c8c1c1","28hyogo_s.geojson","0","d992ca","a1F7F00000EQvKQUA1","[
 {
  ""lat"": 35.60038190890821,
  ""lng"": 134.61590303457012
 },
 {
  ""lat"": 35.60037318532461,
  ""lng"": 134.61864961660137
 }
]"
"a17GA00000GRUJgYAP","c8c1c1","28hyogo_s.geojson","0","d992ca","a1F7F00000EQvKQUA1","[
 {
  ""lat"": 35.60183889093587,
  ""lng"": 134.60651485022294
 },
 {
  ""lat"": 35.60182144408535,
  ""lng"": 134.61261955794083
 },
 {
  ""lat"": 35.5980179398724,
  ""lng"": 134.61121408041703
 },
 {
  ""lat"": 35.59699724398886,
  ""lng"": 134.6114608436464
 },
 {
  ""lat"": 35.5967878688654,
  ""lng"": 134.61042014654862
 },
 {
  ""lat"": 35.59798895090054,
  ""lng"": 134.61012666909042
 },
 {
  ""lat"": 35.60049265495848,
  ""lng"": 134.60690801827255
 }
]"
"a17GA00000GRUJlYAP","c8c1c1","28hyogo_s.geojson","0","d992ca","a1F7F00000EQvKQUA1","[
 {
  ""lat"": 35.60024839459596,
  ""lng"": 134.6072406121904
 },
 {
  ""lat"": 35.60027456538475,
  ""lng"": 134.61274450508895
 }
]"
"a17GA00000GRUJqYAP","c8c1c1","28hyogo_s.geojson","0","d992ca","a1F7F00000EQvKQUA1","[
 {
  ""lat"": 35.59803257010853,
  ""lng"": 134.61008375374618
 },
 {
  ""lat"": 35.59805001778508,
  ""lng"": 134.61123173920456
 }
]"
"a17GA00000GRUK0YAP","c8c1c1","28hyogo_s.geojson","0","d992ca","a1F7F00000EQvKQUA1","[
 {
  ""lat"": 35.5898795137419,
  ""lng"": 134.6116459271817
 },
 {
  ""lat"": 35.5898795137419,
  ""lng"": 134.6124559543042
 },
 {
  ""lat"": 35.58855334413144,
  ""lng"": 134.6126544377713
 },
 {
  ""lat"": 35.5877942766406,
  ""lng"": 134.61254714941072
 },
 {
  ""lat"": 35.58709627719436,
  ""lng"": 134.6120750806241
 },
 {
  ""lat"": 35.58696540162079,
  ""lng"": 134.6110504767804
 },
 {
  ""lat"": 35.58714426485108,
  ""lng"": 134.61069642519044
 },
 {
  ""lat"": 35.5880647497902,
  ""lng"": 134.61109875654267
 }
]"
"a17GA00000GRUK5YAP","c8c1c1","28hyogo_s.geojson","0","d992ca","a1F7F00000EQvKQUA1","[
 {
  ""lat"": 35.58919822163284,
  ""lng"": 134.6114406544848
 },
 {
  ""lat"": 35.589206946434416,
  ""lng"": 134.6125403601809
 }
]"
"a17GA00000GRUKAYA5","c8c1c1","28hyogo_s.geojson","0","d992ca","a1F7F00000EQvKQUA1","[
 {
  ""lat"": 35.58808580164292,
  ""lng"": 134.61110537835793
 },
 {
  ""lat"": 35.58808143918117,
  ""lng"": 134.6125966865702
 }
]"
"a17GA00000GRUKFYA5","c8c1c1","28hyogo_s.geojson","0","d992ca","a1F7F00000EQvKQUA1","[
 {
  ""lat"": 35.587525043814416,
  ""lng"": 134.61086234869887
 },
 {
  ""lat"": 35.587525043814416,
  ""lng"": 134.61237243237426
 }
]"
"a17GA00000GRUKKYA5","c8c1c1","28hyogo_s.geojson","0","d992ca","a1F7F00000EQvKQUA1","[
 {
  ""lat"": 35.58864576044158,
  ""lng"": 134.61127264626055
 },
 {
  ""lat"": 35.58864794165712,
  ""lng"": 134.61264861948519
 }
]"
"a17GA00000GRUKPYA5","c8c1c1","28hyogo_s.geojson","0","d992ca","a1F7F00000EQvKQUA1","[
 {
  ""lat"": 35.58457121554073,
  ""lng"": 134.6089569341109
 },
 {
  ""lat"": 35.58457121554073,
  ""lng"": 134.6096221219466
 },
 {
  ""lat"": 35.58309662520632,
  ""lng"": 134.61022830118395
 },
 {
  ""lat"": 35.582983194055885,
  ""lng"": 134.60890865434862
 },
 {
  ""lat"": 35.5835721617421,
  ""lng"": 134.60849559416033
 }
]"
