"ID","MapTech__FILCOLOR__C","MapTech__GYOUSEIKUBUN__C","MapTech__LAYERFILOPTICALLY__C","MapTech__LINECOLOR__C","MapTech__MAPTECHUSERID__C","MapTech__POLYGON_LATLNGINFO__C"
"a17GA00000IUnWiYAL","000000","30wakayama_s.geojson","0","ff00ff","a1F7F00000EQvKTUA1","[
 {
  ""lat"": 33.89647435397185,
  ""lng"": 135.15040160664404
 },
 {
  ""lat"": 33.89392736183197,
  ""lng"": 135.1511848116764
 },
 {
  ""lat"": 33.89247892965713,
  ""lng"": 135.1515323082312
 },
 {
  ""lat"": 33.890152554361435,
  ""lng"": 135.15190781749328
 },
 {
  ""lat"": 33.88814681329412,
  ""lng"": 135.15217159000895
 },
 {
  ""lat"": 33.88640728044994,
  ""lng"": 135.15248272625468
 },
 {
  ""lat"": 33.88426075857881,
  ""lng"": 135.15355878125183
 },
 {
  ""lat"": 33.882343732823905,
  ""lng"": 135.1556079889392
 },
 {
  ""lat"": 33.88094533660019,
  ""lng"": 135.15853696118347
 },
 {
  ""lat"": 33.87813121989899,
  ""lng"": 135.1570386433241
 },
 {
  ""lat"": 33.876777292102204,
  ""lng"": 135.1544422649977
 },
 {
  ""lat"": 33.8814513941846,
  ""lng"": 135.15390582319472
 },
 {
  ""lat"": 33.88244897263053,
  ""lng"": 135.1527685665724
 },
 {
  ""lat"": 33.88344653941293,
  ""lng"": 135.15272565122817
 },
 {
  ""lat"": 33.88435502758452,
  ""lng"": 135.15230722662184
 },
 {
  ""lat"": 33.885765264014715,
  ""lng"": 135.15217037772493
 },
 {
  ""lat"": 33.887457492135674,
  ""lng"": 135.151644664758
 },
 {
  ""lat"": 33.88760798052576,
  ""lng"": 135.1512262401517
 },
 {
  ""lat"": 33.88857876821401,
  ""lng"": 135.15123696898775
 },
 {
  ""lat"": 33.88870345574032,
  ""lng"": 135.15105457877473
 },
 {
  ""lat"": 33.888890486688034,
  ""lng"": 135.1506146964963
 },
 {
  ""lat"": 33.88945157707065,
  ""lng"": 135.15082927321748
 },
 {
  ""lat"": 33.89206995005539,
  ""lng"": 135.1497885761197
 },
 {
  ""lat"": 33.89591818263958,
  ""lng"": 135.1487309132687
 },
 {
  ""lat"": 33.896105197766836,
  ""lng"": 135.14861289607205
 },
 {
  ""lat"": 33.89611410323885,
  ""lng"": 135.1495784913174
 },
 {
  ""lat"": 33.89646141592226,
  ""lng"": 135.15015784846463
 }
]"
"a17GA00000IUnWnYAL","000000","30wakayama_s.geojson","0","ff00ff","a1F7F00000EQvKTUA1","[
 {
  ""lat"": 33.907871374432155,
  ""lng"": 135.15916138131448
 },
 {
  ""lat"": 33.907403900363086,
  ""lng"": 135.15940814454385
 },
 {
  ""lat"": 33.906671362138,
  ""lng"": 135.1598630246164
 },
 {
  ""lat"": 33.90493728045018,
  ""lng"": 135.16093683918754
 },
 {
  ""lat"": 33.903245399151814,
  ""lng"": 135.16133380612175
 },
 {
  ""lat"": 33.901331616013316,
  ""lng"": 135.16177810980813
 },
 {
  ""lat"": 33.900824033682916,
  ""lng"": 135.16205705954567
 },
 {
  ""lat"": 33.90061031390293,
  ""lng"": 135.1606944973661
 },
 {
  ""lat"": 33.89988900569052,
  ""lng"": 135.1571968968107
 },
 {
  ""lat"": 33.90113641988094,
  ""lng"": 135.15689804510737
 },
 {
  ""lat"": 33.90289233249629,
  ""lng"": 135.15630631241422
 },
 {
  ""lat"": 33.90469982625186,
  ""lng"": 135.1556572549669
 },
 {
  ""lat"": 33.90628584598889,
  ""lng"": 135.15507112049082
 },
 {
  ""lat"": 33.906918513378066,
  ""lng"": 135.15476648831486
 },
 {
  ""lat"": 33.90708324356626,
  ""lng"": 135.15602176213383
 },
 {
  ""lat"": 33.90768428344516,
  ""lng"": 135.15851776964882
 }
]"
"a17GA00000IUnWxYAL","000000","30wakayama_s.geojson","0","ff00ff","a1F7F00000EQvKTUA1","[
 {
  ""lat"": 33.90878225146528,
  ""lng"": 135.1803066941166
 },
 {
  ""lat"": 33.9068589337094,
  ""lng"": 135.17869736870767
 },
 {
  ""lat"": 33.90349302321494,
  ""lng"": 135.17573620995523
 },
 {
  ""lat"": 33.90050099120918,
  ""lng"": 135.17339732369425
 },
 {
  ""lat"": 33.90091952581222,
  ""lng"": 135.1719489308262
 },
 {
  ""lat"": 33.90159630082328,
  ""lng"": 135.16976024827005
 },
 {
  ""lat"": 33.902184022132474,
  ""lng"": 135.16737844666483
 },
 {
  ""lat"": 33.902308689768134,
  ""lng"": 135.1662948342228
 },
 {
  ""lat"": 33.90214840277453,
  ""lng"": 135.1652326794529
 },
 {
  ""lat"": 33.90148944196813,
  ""lng"": 135.16361262520792
 },
 {
  ""lat"": 33.90090171587096,
  ""lng"": 135.1620247574711
 },
 {
  ""lat"": 33.902192926969654,
  ""lng"": 135.16154195984842
 },
 {
  ""lat"": 33.90412525463506,
  ""lng"": 135.16113426407816
 },
 {
  ""lat"": 33.90518489959907,
  ""lng"": 135.16076948365213
 },
 {
  ""lat"": 33.90653837653096,
  ""lng"": 135.15996482094766
 },
 {
  ""lat"": 33.907865119244676,
  ""lng"": 135.15913870057108
 },
 {
  ""lat"": 33.90898072046959,
  ""lng"": 135.16284014901163
 },
 {
  ""lat"": 33.91033904218761,
  ""lng"": 135.16778909760254
 },
 {
  ""lat"": 33.91127395556712,
  ""lng"": 135.17123305397766
 },
 {
  ""lat"": 33.91125614778903,
  ""lng"": 135.17320715981262
 },
 {
  ""lat"": 33.910997934588664,
  ""lng"": 135.1777239997937
 },
 {
  ""lat"": 33.910882183589706,
  ""lng"": 135.18052422600525
 },
 {
  ""lat"": 33.90913699563075,
  ""lng"": 135.1800843437268
 }
]"
"a17GA00000IUnXCYA1","000000","30wakayama_s.geojson","0","ff00ff","a1F7F00000EQvKTUA1","[
 {
  ""lat"": 33.90407580902236,
  ""lng"": 135.19033333747885
 },
 {
  ""lat"": 33.902188004433924,
  ""lng"": 135.18767258613607
 },
 {
  ""lat"": 33.90017548747182,
  ""lng"": 135.18582722633383
 },
 {
  ""lat"": 33.896741748360796,
  ""lng"": 135.1838434119992
 },
 {
  ""lat"": 33.89654582920351,
  ""lng"": 135.1835751910977
 },
 {
  ""lat"": 33.89709796385723,
  ""lng"": 135.1818478484921
 },
 {
  ""lat"": 33.89805083299613,
  ""lng"": 135.17917636831328
 },
 {
  ""lat"": 33.89880777752689,
  ""lng"": 135.17692331274077
 },
 {
  ""lat"": 33.899208510146394,
  ""lng"": 135.17555002172514
 },
 {
  ""lat"": 33.89984077333839,
  ""lng"": 135.17586115797087
 },
 {
  ""lat"": 33.9004552218075,
  ""lng"": 135.17357591589018
 },
 {
  ""lat"": 33.90348751973515,
  ""lng"": 135.17644471296887
 },
 {
  ""lat"": 33.90790413725949,
  ""lng"": 135.18018907675366
 },
 {
  ""lat"": 33.906515064479144,
  ""lng"": 135.18300003180127
 },
 {
  ""lat"": 33.90606984405424,
  ""lng"": 135.18647617468457
 },
 {
  ""lat"": 33.904591695568364,
  ""lng"": 135.189437333437
 }
]"
"a17GA00000IUnXHYA1","c8c1c1","08ibaraki_s.geojson","0","d992ca","a1F7F00000EQvKQUA1","[
 {
  ""lat"": 35.81810422707783,
  ""lng"": 138.33896581661656
 },
 {
  ""lat"": 35.817965030359645,
  ""lng"": 138.29570714962438
 },
 {
  ""lat"": 35.76911407553262,
  ""lng"": 138.29585754722152
 },
 {
  ""lat"": 35.76451762215623,
  ""lng"": 138.29594337791
 },
 {
  ""lat"": 35.7644479768805,
  ""lng"": 138.33997452109847
 }
]"
"a17GA00000IUnXMYA1","c8c1c1","08ibaraki_s.geojson","0","d992ca","a1F7F00000EQvKQUA1","[
 {
  ""lat"": 35.79224960034817,
  ""lng"": 138.33962476282167
 },
 {
  ""lat"": 35.79238884213996,
  ""lng"": 138.29567945032167
 }
]"
"a17GA00000IUnXNYA1","c8c1c1","08ibaraki_s.geojson","0","d992ca","a1F7F00000EQvKQUA1","[
 {
  ""lat"": 35.815984359569605,
  ""lng"": 138.33564976465686
 }
]"
"a17GA00000IUnXRYA1","c8c1c1","08ibaraki_s.geojson","0","d992ca","a1F7F00000EQvKQUA1","[
 {
  ""lat"": 35.81801883911588,
  ""lng"": 138.31317368739343
 },
 {
  ""lat"": 35.81133711416655,
  ""lng"": 138.31308785670495
 },
 {
  ""lat"": 35.80681271032931,
  ""lng"": 138.31094208949304
 },
 {
  ""lat"": 35.803854306919234,
  ""lng"": 138.30493394129968
 },
 {
  ""lat"": 35.800791373179756,
  ""lng"": 138.30480519526697
 },
 {
  ""lat"": 35.79790236154066,
  ""lng"": 138.31038419001794
 },
 {
  ""lat"": 35.79532652763616,
  ""lng"": 138.31051293605066
 },
 {
  ""lat"": 35.79247212766514,
  ""lng"": 138.30918256037927
 },
 {
  ""lat"": 35.792402506872705,
  ""lng"": 138.29570714228845
 },
 {
  ""lat"": 35.81791290907486,
  ""lng"": 138.29571985520764
 }
]"
"a17GA00000IUnXbYAL","000000","30wakayama_s.geojson","0","ff00ff","a1F7F00000EQvKTUA1","[
 {
  ""lat"": 33.903978878401,
  ""lng"": 135.19056279483274
 },
 {
  ""lat"": 33.90004293217851,
  ""lng"": 135.19403893771604
 },
 {
  ""lat"": 33.89629525527807,
  ""lng"": 135.1952304710499
 },
 {
  ""lat"": 33.89444290101189,
  ""lng"": 135.19542359009898
 },
 {
  ""lat"": 33.89668709429391,
  ""lng"": 135.18763445511973
 },
 {
  ""lat"": 33.896491175011036,
  ""lng"": 135.18383644715465
 },
 {
  ""lat"": 33.89930524514591,
  ""lng"": 135.18529556885875
 },
 {
  ""lat"": 33.9013936763781,
  ""lng"": 135.1867117752186
 },
 {
  ""lat"": 33.90381578026088,
  ""lng"": 135.19008062974132
 }
]"
"a17GA00000IUnXgYAL","c8c1c1","08ibaraki_s.geojson","0","d992ca","a1F7F00000EQvKQUA1","[
 {
  ""lat"": 35.807565304480526,
  ""lng"": 138.3391110669282
 },
 {
  ""lat"": 35.80307549150662,
  ""lng"": 138.31821129428417
 },
 {
  ""lat"": 35.798237346951154,
  ""lng"": 138.32005665408641
 },
 {
  ""lat"": 35.79889869344856,
  ""lng"": 138.32327530490429
 },
 {
  ""lat"": 35.79517419663997,
  ""lng"": 138.32786724673778
 },
 {
  ""lat"": 35.79231979119677,
  ""lng"": 138.33009884463817
 },
 {
  ""lat"": 35.792250170270876,
  ""lng"": 138.33971188174755
 }
]"
