"ID","MAPTECH__FILCOLOR__C","MAPTECH__GYOUSEIKUBUN__C","MAPTECH__LAYERFILOPTICALLY__C","MAPTECH__LINECOLOR__C","MAPTECH__MAPTECHUSERID__C","MAPTECH__POLYGON_LATLNGINFO__C"
"a170k000003dNzTAAU","000000","11saitama.geojson","0","0039e6","","[
 {
  ""lat"": 34.851277682629835,
  ""lng"": 135.61705843271983
 },
 {
  ""lat"": 34.84743002976975,
  ""lng"": 135.6215001708485
 },
 {
  ""lat"": 34.850097872274496,
  ""lng"": 135.62711135210765
 },
 {
  ""lat"": 34.853317221702525,
  ""lng"": 135.62075988116038
 }
]"
"a170k000003dNzUAAU","c8c1c1","","0","d992ca","","[
 {
  ""lat"": 33.62528987016135,
  ""lng"": 135.7577843302693
 },
 {
  ""lat"": 33.6127103672585,
  ""lng"": 135.78387685956616
 },
 {
  ""lat"": 33.53433306641391,
  ""lng"": 135.7866234415974
 },
 {
  ""lat"": 33.530040284189845,
  ""lng"": 135.71589895429273
 },
 {
  ""lat"": 33.5623739976574,
  ""lng"": 135.65101095380444
 },
 {
  ""lat"": 33.631007218947026,
  ""lng"": 135.68946310224194
 }
]"
"a170k000003dNzVAAU","c8c1c1","","0","d992ca","","[
 {
  ""lat"": 33.59727066830705,
  ""lng"": 135.92241552217783
 },
 {
  ""lat"": 33.586474630342785,
  ""lng"": 135.91065671785654
 },
 {
  ""lat"": 33.5722446757883,
  ""lng"": 135.90997007234873
 },
 {
  ""lat"": 33.57181559549676,
  ""lng"": 135.92421796663584
 },
 {
  ""lat"": 33.57725045493867,
  ""lng"": 135.93597677095713
 },
 {
  ""lat"": 33.58840514692338,
  ""lng"": 135.93451764925302
 }
]"
"a170k000003dNzWAAU","c8c1c1","","0","d992ca","","[
 {
  ""lat"": 35.09246084367214,
  ""lng"": 134.96366931561025
 },
 {
  ""lat"": 35.08104785753001,
  ""lng"": 134.95143844250234
 },
 {
  ""lat"": 35.07862458726872,
  ""lng"": 134.95517207745107
 },
 {
  ""lat"": 35.080766902347975,
  ""lng"": 134.99104930523427
 },
 {
  ""lat"": 35.08814165520786,
  ""lng"": 134.99504043224843
 },
 {
  ""lat"": 35.09249595808805,
  ""lng"": 134.99306632641347
 }
]"
"a170k000003dNzXAAU","000000","11saitama.geojson","0","ff1493","","[
 {
  ""lat"": 33.73818716972121,
  ""lng"": 135.40028878283263
 },
 {
  ""lat"": 33.73816709537661,
  ""lng"": 135.3997603876567
 },
 {
  ""lat"": 33.73785705768024,
  ""lng"": 135.39935537409545
 },
 {
  ""lat"": 33.737618394805395,
  ""lng"": 135.39947607350112
 },
 {
  ""lat"": 33.73744664634445,
  ""lng"": 135.39999910425902
 },
 {
  ""lat"": 33.737502408869474,
  ""lng"": 135.400715254066
 },
 {
  ""lat"": 33.738004269963525,
  ""lng"": 135.4006240589595
 }
]"
"a170k000003dNzYAAU","000000","11saitama.geojson","0","0039e6","","[
 {
  ""lat"": 34.86440698439746,
  ""lng"": 135.61785742606355
 },
 {
  ""lat"": 34.86274282252795,
  ""lng"": 135.61934785272345
 },
 {
  ""lat"": 34.86275162579226,
  ""lng"": 135.61984674360022
 },
 {
  ""lat"": 34.86381228964882,
  ""lng"": 135.62042334383392
 },
 {
  ""lat"": 34.864300863038274,
  ""lng"": 135.6207452089157
 },
 {
  ""lat"": 34.865175080236845,
  ""lng"": 135.6196079522934
 }
]"
"a170k000003dNzZAAU","c8c1c1","","0","d992ca","","[
 {
  ""lat"": 33.55149144994138,
  ""lng"": 135.82275185155365
 },
 {
  ""lat"": 33.543765822305545,
  ""lng"": 135.79528603124115
 },
 {
  ""lat"": 33.49839960086829,
  ""lng"": 135.7851580100009
 },
 {
  ""lat"": 33.49410503530739,
  ""lng"": 135.80764565038177
 },
 {
  ""lat"": 33.52044168347697,
  ""lng"": 135.85090431737396
 },
 {
  ""lat"": 33.55249286961584,
  ""lng"": 135.8225801901767
 }
]"
"a170k000003dNzaAAE","000000","11saitama.geojson","0","ff1493","","[
 {
  ""lat"": 33.737417855773074,
  ""lng"": 135.40163152975762
 },
 {
  ""lat"": 33.73731971360807,
  ""lng"": 135.39931410116876
 },
 {
  ""lat"": 33.73570481277072,
  ""lng"": 135.40017240805352
 },
 {
  ""lat"": 33.73424156145369,
  ""lng"": 135.40073030752862
 },
 {
  ""lat"": 33.73408095917958,
  ""lng"": 135.40271514219964
 },
 {
  ""lat"": 33.73518732430347,
  ""lng"": 135.40303700728143
 },
 {
  ""lat"": 33.736445351182475,
  ""lng"": 135.40257566733086
 }
]"
"a170k000003dNzbAAE","c8c1c1","","0","d992ca","","[
 {
  ""lat"": 33.56962990319517,
  ""lng"": 135.89650671329608
 },
 {
  ""lat"": 33.55496800764463,
  ""lng"": 135.8517030939113
 },
 {
  ""lat"": 33.52671002037317,
  ""lng"": 135.858312056924
 },
 {
  ""lat"": 33.52742552643452,
  ""lng"": 135.87110082950701
 },
 {
  ""lat"": 33.55811242786358,
  ""lng"": 135.90459173291418
 }
]"
"a170k000003dNzcAAE","e9e2e2","07fukushima.geojson","0","05e0f0","","[
 {
  ""lat"": 35.83510605369936,
  ""lng"": 139.77997404527272
 },
 {
  ""lat"": 35.835567042319376,
  ""lng"": 139.77686268281545
 },
 {
  ""lat"": 35.8348190216961,
  ""lng"": 139.77556449365224
 },
 {
  ""lat"": 35.8355148550629,
  ""lng"": 139.7736118454894
 },
 {
  ""lat"": 35.833592600530594,
  ""lng"": 139.77336508226003
 },
 {
  ""lat"": 35.831583316375614,
  ""lng"": 139.77372986268605
 },
 {
  ""lat"": 35.830574306008,
  ""lng"": 139.77468472909536
 },
 {
  ""lat"": 35.83116579640029,
  ""lng"": 139.77839690637197
 },
 {
  ""lat"": 35.83300112822823,
  ""lng"": 139.77930885743703
 }
]"
