"ID","MAPTECH__FILCOLOR__C","MAPTECH__GYOUSEIKUBUN__C","MAPTECH__LAYERFILOPTICALLY__C","MAPTECH__LINECOLOR__C","MAPTECH__MAPTECHUSERID__C","MAPTECH__POLYGON_LATLNGINFO__C"
"a177F00000GRNpXQAX","000000","27osaka_s.geojson","0","ff00ff","a1F7F00000EQvKTUA1","[
 {
  ""lat"": 34.912870500048655,
  ""lng"": 135.17921003001888
 }
]"
"a177F00000GRNqGQAX","2418c3","25siga_s.geojson","0","dfc272","a1F7F00000ER0TQUA1","[
 {
  ""lat"": 35.03732719532962,
  ""lng"": 134.96901791641534
 }
]"
"a177F00000GRNqLQAX","2418c3","25siga_s.geojson","0","dfc272","a1F7F00000ER0TQUA1","[
 {
  ""lat"": 35.038170506532694,
  ""lng"": 134.96936123916925
 }
]"
"a177F00000GRNqQQAX","2418c3","25siga_s.geojson","0","dfc272","a1F7F00000ER0TQUA1","[
 {
  ""lat"": 35.03873270916615,
  ""lng"": 134.96901791641534
 }
]"
"a177F00000GRNqVQAX","2418c3","25siga_s.geojson","0","dfc272","a1F7F00000ER0TQUA1","[
 {
  ""lat"": 35.038170506532694,
  ""lng"": 134.97142117569268
 },
 {
  ""lat"": 35.053067569267355,
  ""lng"": 135.04283230850518
 }
]"
"a177F00000GRNrxQAH","2418c3","25siga_s.geojson","0","dfc272","a1F7F00000ER0TQUA1","[
 {
  ""lat"": 35.03698515958746,
  ""lng"": 134.9727183940778
 }
]"
"a177F00000GRNs2QAH","2418c3","25siga_s.geojson","0","dfc272","a1F7F00000ER0TQUA1","[
 {
  ""lat"": 35.03698515958746,
  ""lng"": 134.9727183940778
 },
 {
  ""lat"": 34.96330211262819,
  ""lng"": 135.01014057425357
 },
 {
  ""lat"": 34.965271606201576,
  ""lng"": 135.00911060599185
 }
]"
"a177F00000GRNs7QAH","2418c3","25siga_s.geojson","0","dfc272","a1F7F00000ER0TQUA1","[
 {
  ""lat"": 35.01997645504597,
  ""lng"": 134.9811298015485
 }
]"
"a177F00000GRNsCQAX","2418c3","25siga_s.geojson","0","dfc272","a1F7F00000ER0TQUA1","[
 {
  ""lat"": 35.020117037355554,
  ""lng"": 134.9814269280122
 },
 {
  ""lat"": 35.050567712752006,
  ""lng"": 135.10127325430736
 }
]"
"a177F00000GRNsHQAX","000000","27osaka_s.geojson","0","ff00ff","a1F7F00000EQvKTUA1","[
 {
  ""lat"": 35.30065717870694,
  ""lng"": 136.28756868520136
 },
 {
  ""lat"": 35.29729475289884,
  ""lng"": 136.29284727254267
 },
 {
  ""lat"": 35.27829405392912,
  ""lng"": 136.29942057006303
 },
 {
  ""lat"": 35.2733759429215,
  ""lng"": 136.3065439438508
 },
 {
  ""lat"": 35.26808528200598,
  ""lng"": 136.30431234595042
 },
 {
  ""lat"": 35.26682388137582,
  ""lng"": 136.27766191717845
 },
 {
  ""lat"": 35.27789550537667,
  ""lng"": 136.27349912878734
 },
 {
  ""lat"": 35.28489160638193,
  ""lng"": 136.2739411133938
 },
 {
  ""lat"": 35.29325481995235,
  ""lng"": 136.27330822541114
 },
 {
  ""lat"": 35.296127044067525,
  ""lng"": 136.2732653100669
 },
 {
  ""lat"": 35.2966874661568,
  ""lng"": 136.27519650055763
 }
]"
