"ID","MAPTECH__FILCOLOR__C","MAPTECH__GYOUSEIKUBUN__C","MAPTECH__LAYERFILOPTICALLY__C","MAPTECH__LINECOLOR__C","MAPTECH__MAPTECHUSERID__C","MAPTECH__POLYGON_LATLNGINFO__C"
"a177F00000FlE9bQAF","2418c3","28hyogo_s.geojson","0","dfc272","a1F7F00000ER0TQUA1","[
 {
  ""lat"": 33.669038355250656,
  ""lng"": 135.7935947552597
 }
]"
"a177F00000FlE9gQAF","2418c3","28hyogo_s.geojson","0","dfc272","a1F7F00000ER0TQUA1","[
 {
  ""lat"": 33.66875262309956,
  ""lng"": 135.79668466004486
 },
 {
  ""lat"": 33.68103824842104,
  ""lng"": 135.9144443646347
 },
 {
  ""lat"": 33.68303806780784,
  ""lng"": 135.91238442811127
 }
]"
"a177F00000FlEA0QAN","000000","12tibaken_s.geojson","0","ee00ff","a1F7F00000EQvKTUA1","[
 {
  ""lat"": 33.93285745794998,
  ""lng"": 135.16080481274082
 },
 {
  ""lat"": 33.93305329364299,
  ""lng"": 135.16702753765537
 },
 {
  ""lat"": 33.92122324929964,
  ""lng"": 135.17290702155083
 },
 {
  ""lat"": 33.917267921848776,
  ""lng"": 135.17346330772725
 },
 {
  ""lat"": 33.91619952372613,
  ""lng"": 135.17260500084248
 },
 {
  ""lat"": 33.91593242210237,
  ""lng"": 135.1677984822878
 },
 {
  ""lat"": 33.91644881781959,
  ""lng"": 135.16453691612568
 },
 {
  ""lat"": 33.917374760924275,
  ""lng"": 135.16181179176655
 },
 {
  ""lat"": 33.92029497711504,
  ""lng"": 135.16112514625874
 },
 {
  ""lat"": 33.92482381302982,
  ""lng"": 135.15929022795072
 },
 {
  ""lat"": 33.92852716100457,
  ""lng"": 135.15886107450834
 },
 {
  ""lat"": 33.93233950185808,
  ""lng"": 135.16001512225898
 }
]"
"a177F00000FlEA5QAN","000000","12tibaken_s.geojson","0","ee00ff","a1F7F00000EQvKTUA1","[
 {
  ""lat"": 33.91982013343208,
  ""lng"": 135.15742945816532
 },
 {
  ""lat"": 33.91762996846597,
  ""lng"": 135.15882420685307
 },
 {
  ""lat"": 33.90942928032443,
  ""lng"": 135.15530719215076
 },
 {
  ""lat"": 33.90716761379059,
  ""lng"": 135.1520885413329
 },
 {
  ""lat"": 33.90672239677389,
  ""lng"": 135.14968528205554
 },
 {
  ""lat"": 33.90686486647222,
  ""lng"": 135.14745368415515
 },
 {
  ""lat"": 33.9108829413419,
  ""lng"": 135.14355765875658
 },
 {
  ""lat"": 33.91568355690439,
  ""lng"": 135.1421895466169
 },
 {
  ""lat"": 33.918113366170466,
  ""lng"": 135.1463812937287
 },
 {
  ""lat"": 33.91935980134843,
  ""lng"": 135.1494282831696
 },
 {
  ""lat"": 33.919431025665006,
  ""lng"": 135.15264693398748
 }
]"
"a177F00000FlEAAQA3","2418c3","28hyogo_s.geojson","0","dfc272","a1F7F00000ER0TQUA1","[
 {
  ""lat"": 33.64385153192775,
  ""lng"": 135.80368150660806
 },
 {
  ""lat"": 33.67014252526397,
  ""lng"": 135.97534288356118
 },
 {
  ""lat"": 33.67304739084391,
  ""lng"": 135.97382654933946
 }
]"
"a177F00000FlEAKQA3","2418c3","28hyogo_s.geojson","0","dfc272","a1F7F00000ER0TQUA1","[
 {
  ""lat"": 33.620035208954995,
  ""lng"": 135.82205531950314
 },
 {
  ""lat"": 33.62117877880769,
  ""lng"": 135.82031831044372
 },
 {
  ""lat"": 33.6377588360756,
  ""lng"": 135.93859299916443
 }
]"
"a177F00000FlEAUQA3","000000","12tibaken_s.geojson","0","ee00ff","a1F7F00000EQvKTUA1","[
 {
  ""lat"": 33.916221716981624,
  ""lng"": 135.16221997110384
 },
 {
  ""lat"": 33.91559847871951,
  ""lng"": 135.1667689975931
 },
 {
  ""lat"": 33.91543821671534,
  ""lng"": 135.17155405847566
 },
 {
  ""lat"": 33.91527795440979,
  ""lng"": 135.17320629922884
 },
 {
  ""lat"": 33.911431568658124,
  ""lng"": 135.17891404001253
 },
 {
  ""lat"": 33.910469945095386,
  ""lng"": 135.17925736276644
 },
 {
  ""lat"": 33.9099000889755,
  ""lng"": 135.17829176752107
 },
 {
  ""lat"": 33.909597351362144,
  ""lng"": 135.17726179925936
 },
 {
  ""lat"": 33.90973981625533,
  ""lng"": 135.1748370823099
 },
 {
  ""lat"": 33.91166306900655,
  ""lng"": 135.16949412195223
 },
 {
  ""lat"": 33.91107541304808,
  ""lng"": 135.16144749490755
 },
 {
  ""lat"": 33.9126246791075,
  ""lng"": 135.16046044199007
 },
 {
  ""lat"": 33.91573014216521,
  ""lng"": 135.16141056184932
 }
]"
"a177F00000FlEAZQA3","000000","12tibaken_s.geojson","0","ee00ff","a1F7F00000EQvKTUA1","[
 {
  ""lat"": 33.91125218461776,
  ""lng"": 135.16942196421246
 },
 {
  ""lat"": 33.90966727739282,
  ""lng"": 135.17470055155377
 },
 {
  ""lat"": 33.908296041745146,
  ""lng"": 135.17669611506085
 },
 {
  ""lat"": 33.90690697535122,
  ""lng"": 135.1769750647984
 },
 {
  ""lat"": 33.90175234646628,
  ""lng"": 135.17219000391583
 },
 {
  ""lat"": 33.90187701473314,
  ""lng"": 135.16862803034405
 },
 {
  ""lat"": 33.90180091697414,
  ""lng"": 135.15861900542234
 },
 {
  ""lat"": 33.90238863687285,
  ""lng"": 135.15670927260373
 },
 {
  ""lat"": 33.90655598902523,
  ""lng"": 135.15552910063718
 },
 {
  ""lat"": 33.90771355069172,
  ""lng"": 135.15844734404538
 },
 {
  ""lat"": 33.91066963371906,
  ""lng"": 135.16716543596357
 }
]"
"a177F00000FlEAeQAN","000000","12tibaken_s.geojson","0","ee00ff","a1F7F00000EQvKTUA1","[
 {
  ""lat"": 33.90804459005803,
  ""lng"": 135.1549020975797
 },
 {
  ""lat"": 33.905747268929495,
  ""lng"": 135.15462314784216
 },
 {
  ""lat"": 33.89999479017981,
  ""lng"": 135.1553312510221
 },
 {
  ""lat"": 33.89848091547348,
  ""lng"": 135.15189802348303
 },
 {
  ""lat"": 33.89791097920822,
  ""lng"": 135.14947330653357
 },
 {
  ""lat"": 33.901847023846834,
  ""lng"": 135.14511739909338
 },
 {
  ""lat"": 33.90336083878785,
  ""lng"": 135.14509594142126
 },
 {
  ""lat"": 33.904998083113995,
  ""lng"": 135.1462761133878
 },
 {
  ""lat"": 33.90685020808368,
  ""lng"": 135.1521984308927
 },
 {
  ""lat"": 33.90807899955957,
  ""lng"": 135.15419399439978
 }
]"
"a177F00000FlEAjQAN","000000","12tibaken_s.geojson","0","ee00ff","a1F7F00000EQvKTUA1","[
 {
  ""lat"": 33.90085154951683,
  ""lng"": 135.16096102019202
 },
 {
  ""lat"": 33.90149270543555,
  ""lng"": 135.16640054007422
 },
 {
  ""lat"": 33.90159065938746,
  ""lng"": 135.1689003588761
 },
 {
  ""lat"": 33.901198842904634,
  ""lng"": 135.17121778746497
 },
 {
  ""lat"": 33.89543416994372,
  ""lng"": 135.16704786249937
 },
 {
  ""lat"": 33.89474844040968,
  ""lng"": 135.1651274008447
 },
 {
  ""lat"": 33.89569668596484,
  ""lng"": 135.16091889618534
 },
 {
  ""lat"": 33.895928229044294,
  ""lng"": 135.15977091072696
 },
 {
  ""lat"": 33.89796756209061,
  ""lng"": 135.15929884194034
 },
 {
  ""lat"": 33.90020525406787,
  ""lng"": 135.16039927656848
 }
]"
"a177F00000FlEAoQAN","000000","12tibaken_s.geojson","0","ee00ff","a1F7F00000EQvKTUA1","[
 {
  ""lat"": 33.899180252339626,
  ""lng"": 135.15587264644742
 },
 {
  ""lat"": 33.89698955696752,
  ""lng"": 135.1573103104794
 },
 {
  ""lat"": 33.89564483396521,
  ""lng"": 135.156698766824
 },
 {
  ""lat"": 33.89426217730052,
  ""lng"": 135.1559161408676
 },
 {
  ""lat"": 33.892988657704805,
  ""lng"": 135.15380256016385
 },
 {
  ""lat"": 33.89459168626695,
  ""lng"": 135.14889948208463
 },
 {
  ""lat"": 33.896461848173765,
  ""lng"": 135.14816992123258
 },
 {
  ""lat"": 33.89726333357896,
  ""lng"": 135.1488565667404
 },
 {
  ""lat"": 33.89859912584743,
  ""lng"": 135.15383474667203
 }
]"
