"ID","MAPTECH__FILCOLOR__C","MAPTECH__GYOUSEIKUBUN__C","MAPTECH__LAYERFILOPTICALLY__C","MAPTECH__LINECOLOR__C","MAPTECH__MAPTECHUSERID__C","MAPTECH__POLYGON_LATLNGINFO__C"
"a177F00000GRK0uQAH","c8c1c1","28hyogo_s.geojson","0","d992ca","a1F7F00000EQvKQUA1","[
 {
  ""lat"": 35.44360859215053,
  ""lng"": 136.22585156551912
 },
 {
  ""lat"": 35.44360749957058,
  ""lng"": 136.22708001724794
 },
 {
  ""lat"": 35.44360859215053,
  ""lng"": 136.22805097691133
 }
]"
"a177F00000GRK0zQAH","c8c1c1","28hyogo_s.geojson","0","d992ca","a1F7F00000EQvKQUA1","[
 {
  ""lat"": 35.446126351040654,
  ""lng"": 136.21568917333548
 },
 {
  ""lat"": 35.446130721223646,
  ""lng"": 136.21783225833838
 }
]"
"a177F00000GRK14QAH","c8c1c1","28hyogo_s.geojson","0","d992ca","a1F7F00000EQvKQUA1","[
 {
  ""lat"": 35.445009730947795,
  ""lng"": 136.20727099425503
 },
 {
  ""lat"": 35.445008992091736,
  ""lng"": 136.21129564888187
 },
 {
  ""lat"": 35.44500789953079,
  ""lng"": 136.21804140455433
 }
]"
"a177F00000GRK19QAH","c8c1c1","28hyogo_s.geojson","0","d992ca","a1F7F00000EQvKQUA1","[
 {
  ""lat"": 35.443888879877214,
  ""lng"": 136.2078598014922
 },
 {
  ""lat"": 35.443886694724874,
  ""lng"": 136.22591643258045
 }
]"
"a177F00000GRK1EQAX","c8c1c1","28hyogo_s.geojson","0","d992ca","a1F7F00000EQvKQUA1","[
 {
  ""lat"": 35.44276908479376,
  ""lng"": 136.20844845016148
 },
 {
  ""lat"": 35.44276921814785,
  ""lng"": 136.21178984044298
 },
 {
  ""lat"": 35.44277564544156,
  ""lng"": 136.21847098397583
 }
]"
"a177F00000GRK1JQAX","c8c1c1","28hyogo_s.geojson","0","d992ca","a1F7F00000EQvKQUA1","[
 {
  ""lat"": 35.44119012486515,
  ""lng"": 136.20458950677155
 },
 {
  ""lat"": 35.44132560873578,
  ""lng"": 136.2052278725171
 },
 {
  ""lat"": 35.44089730410771,
  ""lng"": 136.2068479267621
 },
 {
  ""lat"": 35.44020821002777,
  ""lng"": 136.2067799731206
 },
 {
  ""lat"": 35.44003338966091,
  ""lng"": 136.20579292020312
 },
 {
  ""lat"": 35.44032621356079,
  ""lng"": 136.20555152139178
 },
 {
  ""lat"": 35.440199469018445,
  ""lng"": 136.20459665498248
 },
 {
  ""lat"": 35.439390921551485,
  ""lng"": 136.2044357224416
 },
 {
  ""lat"": 35.439211728851404,
  ""lng"": 136.2034111185979
 },
 {
  ""lat"": 35.439329733845085,
  ""lng"": 136.2028532191228
 },
 {
  ""lat"": 35.44027813806822,
  ""lng"": 136.20249916753284
 },
 {
  ""lat"": 35.44055347913704,
  ""lng"": 136.20307316026202
 },
 {
  ""lat"": 35.44079822596316,
  ""lng"": 136.20470394334308
 }
]"
"a177F00000GRK1OQAX","c8c1c1","28hyogo_s.geojson","0","d992ca","a1F7F00000EQvKQUA1","[
 {
  ""lat"": 35.43722975368054,
  ""lng"": 136.198066333874
 },
 {
  ""lat"": 35.43775423190662,
  ""lng"": 136.20057688151195
 },
 {
  ""lat"": 35.43785038587747,
  ""lng"": 136.20425687228038
 },
 {
  ""lat"": 35.437500734523965,
  ""lng"": 136.2043319741328
 },
 {
  ""lat"": 35.43717730567002,
  ""lng"": 136.20290503893688
 },
 {
  ""lat"": 35.43675772035585,
  ""lng"": 136.20307670031383
 },
 {
  ""lat"": 35.43656540968943,
  ""lng"": 136.20227203760936
 },
 {
  ""lat"": 35.43595350905845,
  ""lng"": 136.20241151247814
 },
 {
  ""lat"": 35.43529789607916,
  ""lng"": 136.20221839342906
 },
 {
  ""lat"": 35.43505313253169,
  ""lng"": 136.20100603495433
 },
 {
  ""lat"": 35.43397796696148,
  ""lng"": 136.20142368260056
 },
 {
  ""lat"": 35.433715715976106,
  ""lng"": 136.20030788365037
 },
 {
  ""lat"": 35.43304260120412,
  ""lng"": 136.20047954502732
 },
 {
  ""lat"": 35.432666703493396,
  ""lng"": 136.1987092870775
 },
 {
  ""lat"": 35.43360207361717,
  ""lng"": 136.198441066176
 },
 {
  ""lat"": 35.43440630840078,
  ""lng"": 136.19936374607713
 },
 {
  ""lat"": 35.43525424289728,
  ""lng"": 136.1989989656511
 },
 {
  ""lat"": 35.43518431049315,
  ""lng"": 136.1984947103563
 },
 {
  ""lat"": 35.43584866587999,
  ""lng"": 136.19752911511094
 },
 {
  ""lat"": 35.4365742056323,
  ""lng"": 136.1973789114061
 }
]"
"a177F00000GRK1TQAX","c8c1c1","28hyogo_s.geojson","0","d992ca","a1F7F00000EQvKQUA1","[
 {
  ""lat"": 35.436070986206616,
  ""lng"": 136.19747615221527
 },
 {
  ""lat"": 35.43606224474809,
  ""lng"": 136.20241141680268
 }
]"
"a177F00000GRK1YQAX","c8c1c1","28hyogo_s.geojson","0","d992ca","a1F7F00000EQvKQUA1","[
 {
  ""lat"": 35.460809454511164,
  ""lng"": 136.23253255137368
 },
 {
  ""lat"": 35.459428716778234,
  ""lng"": 136.23259692439004
 }
]"
"a177F00000GRK1ZQAX","2418c3","28hyogo_s.geojson","0","dfc272","a1F7F00000ER0TQUA1","[
 {
  ""lat"": 36.10839073375451,
  ""lng"": 139.63943274682075
 }
]"
