"ID","MapTech__FILCOLOR__C","MapTech__GYOUSEIKUBUN__C","MapTech__LAYERFILOPTICALLY__C","MapTech__LINECOLOR__C","MapTech__MAPTECHUSERID__C","MapTech__POLYGON_LATLNGINFO__C"
"a17TL0000Oc4R45YQE","","03iwate_s.geojson","0","03fcca","a1FTL00000AbCnd2AF","[
 {
  ""lat"": 39.75076418597745,
  ""lng"": 141.10507530177765
 },
 {
  ""lat"": 39.750755937290485,
  ""lng"": 141.11759273020402
 },
 {
  ""lat"": 39.748098881815636,
  ""lng"": 141.11807922164712
 },
 {
  ""lat"": 39.747174986993514,
  ""lng"": 141.11710826198373
 },
 {
  ""lat"": 39.74624276108862,
  ""lng"": 141.11453052360028
 },
 {
  ""lat"": 39.745280757069956,
  ""lng"": 141.1110651114642
 },
 {
  ""lat"": 39.74528828613286,
  ""lng"": 141.1054572355583
 }
]"
"a17TL0000Oc5fnqYQA","","03iwate_s.geojson","0","03fcca","a1FTL00000AbCnd2AF","[
 {
  ""lat"": 39.75077901187204,
  ""lng"": 141.10508367468609
 },
 {
  ""lat"": 39.7490797618682,
  ""lng"": 141.1051748697926
 },
 {
  ""lat"": 39.74915812626113,
  ""lng"": 141.1086885636021
 },
 {
  ""lat"": 39.75075134714611,
  ""lng"": 141.1086630992087
 }
]"
"a17TL0000OcBlg6YQC","ff42ef","24mie_s.geojson","0","d800f5","a1F7F00000D1wlWUAR","[
 {
  ""lat"": 39.64814678975244,
  ""lng"": 141.16945936204797
 },
 {
  ""lat"": 39.64821641481293,
  ""lng"": 141.16226336674308
 },
 {
  ""lat"": 39.64447864452707,
  ""lng"": 141.16209170536612
 },
 {
  ""lat"": 39.644528212902124,
  ""lng"": 141.16906544880484
 },
 {
  ""lat"": 39.64806399865458,
  ""lng"": 141.16949460224723
 }
]"
"a17TL0000OcCG3wYQG","","03iwate_s.geojson","0","03fcca","a1FTL00000AbCnd2AF","[
 {
  ""lat"": 39.75075926445739,
  ""lng"": 141.10867047560356
 },
 {
  ""lat"": 39.7491879951153,
  ""lng"": 141.10869855850672
 },
 {
  ""lat"": 39.74911988588715,
  ""lng"": 141.1130687925579
 },
 {
  ""lat"": 39.750761439623595,
  ""lng"": 141.11310594311192
 }
]"
"a17TL0000OcDHEiYQO","ff42ef","24mie_s.geojson","0","d800f5","a1F7F00000D1wlWUAR","[
 {
  ""lat"": 39.648206226450995,
  ""lng"": 141.16227286961254
 },
 {
  ""lat"": 39.64996578714524,
  ""lng"": 141.15045191740825
 },
 {
  ""lat"": 39.645590436626925,
  ""lng"": 141.15045191740825
 },
 {
  ""lat"": 39.644484748040455,
  ""lng"": 141.16215535042633
 }
]"
"a17TL0000OcGJNgYQO","","03iwate_s.geojson","0","03fcca","a1FTL00000AbCnd2AF","[
 {
  ""lat"": 39.750761439623595,
  ""lng"": 141.11313171965037
 },
 {
  ""lat"": 39.74914055359926,
  ""lng"": 141.11307271105204
 },
 {
  ""lat"": 39.74922304235865,
  ""lng"": 141.11787922960673
 },
 {
  ""lat"": 39.75077381265269,
  ""lng"": 141.11759491545115
 }
]"
"a17TL0000OcInnRYQS","ff42ef","24mie_s.geojson","0","d800f5","a1F7F00000D1wlWUAR","[
 {
  ""lat"": 39.65379828965691,
  ""lng"": 141.17788289750396
 },
 {
  ""lat"": 39.65404609777063,
  ""lng"": 141.17116664613067
 },
 {
  ""lat"": 39.648122073197904,
  ""lng"": 141.17128351176635
 },
 {
  ""lat"": 39.64846903279447,
  ""lng"": 141.1797592922534
 }
]"
"a17TL0000OcJP3dYQG","000000","","0","1fb1f9","a1FTL00000DjoHJ2AZ","[
 {
  ""lat"": 39.70041483962016,
  ""lng"": 141.14729209972262
 },
 {
  ""lat"": 39.70060057039183,
  ""lng"": 141.15500613284945
 },
 {
  ""lat"": 39.69238240543623,
  ""lng"": 141.1550870458451
 },
 {
  ""lat"": 39.692374149762955,
  ""lng"": 141.14838152330788
 }
]"
"a17TL0000OcLhuUYQS","000000","","0","1fb1f9","a1FTL00000DjoHJ2AZ","[
 {
  ""lat"": 39.706906448738025,
  ""lng"": 141.16679905928984
 },
 {
  ""lat"": 39.70683216327819,
  ""lng"": 141.17050855435744
 },
 {
  ""lat"": 39.70104590563161,
  ""lng"": 141.17141435239338
 },
 {
  ""lat"": 39.700864303387775,
  ""lng"": 141.16743395421528
 }
]"
"a17TL0000OcLzVNYQ0","000000","","0","1fb1f9","a1FTL00000DjoHJ2AZ","[
 {
  ""lat"": 39.70035613401907,
  ""lng"": 141.13930336397607
 },
 {
  ""lat"": 39.70041391702852,
  ""lng"": 141.1473070756765
 },
 {
  ""lat"": 39.692381614700025,
  ""lng"": 141.14837995928247
 },
 {
  ""lat"": 39.69223301242852,
  ""lng"": 141.1373292581411
 }
]"
