"ID","MapTech__FILCOLOR__C","MapTech__GYOUSEIKUBUN__C","MapTech__LAYERFILOPTICALLY__C","MapTech__LINECOLOR__C","MapTech__MAPTECHUSERID__C","MapTech__POLYGON_LATLNGINFO__C"
"a17TL0000N4HHTeYQO","ffffff","29nara_s.geojson","0","d7fb93","a1FTL000007Ac1Z2AS","[
 {
  ""lat"": 39.313862768186375,
  ""lng"": 140.99252256045943
 },
 {
  ""lat"": 39.29479119991342,
  ""lng"": 140.99324987576398
 }
]"
"a17TL0000N4InY7YQK","ffffff","29nara_s.geojson","0","d7fb93","a1FTL000007Ac1Z2AS","[
 {
  ""lat"": 39.31393379512083,
  ""lng"": 140.99902051817497
 },
 {
  ""lat"": 39.295204792863956,
  ""lng"": 140.9992780102404
 }
]"
"a17TL0000N4J689YQC","ffffff","29nara_s.geojson","0","d7fb93","a1FTL000007Ac1Z2AS","[
 {
  ""lat"": 39.31386475652651,
  ""lng"": 141.0114309806189
 },
 {
  ""lat"": 39.29460434295187,
  ""lng"": 141.0115168113074
 }
]"
"a17TL0000N4LnnoYQC","ffffff","29nara_s.geojson","0","d7fb93","a1FTL000007Ac1Z2AS","[
 {
  ""lat"": 39.3142590347619,
  ""lng"": 140.99568291936117
 },
 {
  ""lat"": 39.29440733192431,
  ""lng"": 140.99628934266494
 }
]"
"a17TL0000N4MjaFYQS","ffffff","29nara_s.geojson","0","d7fb93","a1FTL000007Ac1Z2AS","[
 {
  ""lat"": 39.31398630317249,
  ""lng"": 141.0027924996075
 },
 {
  ""lat"": 39.294792347260405,
  ""lng"": 141.00287833029597
 }
]"
"a17TL0000N4NC5wYQG","ffffff","29nara_s.geojson","0","d7fb93","a1FTL000007Ac1Z2AS","[
 {
  ""lat"": 39.31379835041418,
  ""lng"": 141.00731110757204
 },
 {
  ""lat"": 39.29473719154021,
  ""lng"": 141.007482768949
 }
]"
"a17TL0000N4OXKwYQO","ffffff","29nara_s.geojson","0","d7fb93","a1FTL000007Ac1Z2AS","[
 {
  ""lat"": 39.31414541834286,
  ""lng"": 141.0196108679095
 },
 {
  ""lat"": 39.29475223370478,
  ""lng"": 141.02021168272884
 }
]"
"a17TL0000N4VzPVYQ0","ffffff","04miyagi_s.geojson","0","9e0feb","a1F7F00000EQvZPUA1","[
 {
  ""lat"": 39.26871685860474,
  ""lng"": 140.92921200578033
 },
 {
  ""lat"": 39.233224158013776,
  ""lng"": 140.92938366715728
 },
 {
  ""lat"": 39.23495268305576,
  ""lng"": 140.96388760392486
 },
 {
  ""lat"": 39.239340286151055,
  ""lng"": 140.99615994279205
 },
 {
  ""lat"": 39.25157094288394,
  ""lng"": 141.02105084245025
 },
 {
  ""lat"": 39.27124187170217,
  ""lng"": 140.99444332902252
 },
 {
  ""lat"": 39.26924844787025,
  ""lng"": 140.93281689469634
 }
]"
"a17TL0000N4WRJ1YQO","ffffff","04miyagi_s.geojson","0","9e0feb","a1F7F00000EQvZPUA1","[
 {
  ""lat"": 39.3187771776355,
  ""lng"": 140.97134388349352
 },
 {
  ""lat"": 39.31758194189735,
  ""lng"": 140.8956412162572
 },
 {
  ""lat"": 39.29632989816654,
  ""lng"": 140.896327861765
 },
 {
  ""lat"": 39.28051950603871,
  ""lng"": 140.89873112104235
 },
 {
  ""lat"": 39.26816100061434,
  ""lng"": 140.92688358686266
 },
 {
  ""lat"": 39.271084714864074,
  ""lng"": 140.99537647626696
 },
 {
  ""lat"": 39.29725981007226,
  ""lng"": 140.97718037030992
 },
 {
  ""lat"": 39.312535165869484,
  ""lng"": 140.97666538617906
 }
]"
"a17TL0000N4a9FTYQY","ffffff","04miyagi_s.geojson","0","9e0feb","a1F7F00000EQvZPUA1","[
 {
  ""lat"": 39.2710161365866,
  ""lng"": 140.99617864489196
 },
 {
  ""lat"": 39.271614154604904,
  ""lng"": 141.036347407099
 },
 {
  ""lat"": 39.250414622936326,
  ""lng"": 141.03943731188414
 },
 {
  ""lat"": 39.253272613909026,
  ""lng"": 141.03325750231383
 },
 {
  ""lat"": 39.255532338258725,
  ""lng"": 141.0315408885443
 },
 {
  ""lat"": 39.25028169028873,
  ""lng"": 141.0227861583197
 },
 {
  ""lat"": 39.26211170909882,
  ""lng"": 141.00716497301696
 }
]"
"a17TL0000N4aLOzYQM","ffffff","29nara_s.geojson","0","d7fb93","a1FTL000007Ac1Z2AS","[
 {
  ""lat"": 39.31422611089308,
  ""lng"": 141.02492269721176
 },
 {
  ""lat"": 39.29443440264036,
  ""lng"": 141.02509435858872
 }
]"
"a17TL0000N4btQ4YQI","ffffff","29nara_s.geojson","0","d7fb93","a1FTL000007Ac1Z2AS","[
 {
  ""lat"": 39.314349900765954,
  ""lng"": 141.03709325468267
 },
 {
  ""lat"": 39.29469107619879,
  ""lng"": 141.0373507467481
 }
]"
