"ID","MapTech__FILCOLOR__C","MapTech__GYOUSEIKUBUN__C","MapTech__LAYERFILOPTICALLY__C","MapTech__LINECOLOR__C","MapTech__MAPTECHUSERID__C","MapTech__POLYGON_LATLNGINFO__C"
"a17TL0000Pjh1h5YQA","000000","","0","1fb1f9","a1FTL00000DjoHJ2AZ","[
 {
  ""lat"": 34.84265149192708,
  ""lng"": 135.7248368334912
 },
 {
  ""lat"": 34.836269454822066,
  ""lng"": 135.72245600027395
 },
 {
  ""lat"": 34.83178563642439,
  ""lng"": 135.71874020833044
 },
 {
  ""lat"": 34.82820902097145,
  ""lng"": 135.7218740850185
 },
 {
  ""lat"": 34.826466282228395,
  ""lng"": 135.72324473516292
 },
 {
  ""lat"": 34.82681113899106,
  ""lng"": 135.72807793916053
 },
 {
  ""lat"": 34.82751570469916,
  ""lng"": 135.7315648108799
 },
 {
  ""lat"": 34.82856326785294,
  ""lng"": 135.73573576698675
 },
 {
  ""lat"": 34.84309265756315,
  ""lng"": 135.7335554440163
 }
]"
"a17TL0000PjmzvdYQA","ffffff","04miyagi_s.geojson","0","7f07b6","a1F7F00000EQvZPUA1","[
 {
  ""lat"": 35.89018004602284,
  ""lng"": 140.12856140537605
 },
 {
  ""lat"": 35.90526771545788,
  ""lng"": 140.12057915134773
 },
 {
  ""lat"": 35.90269536689546,
  ""lng"": 140.09002342625007
 },
 {
  ""lat"": 35.884964745039426,
  ""lng"": 140.0884784738575
 },
 {
  ""lat"": 35.873976720364496,
  ""lng"": 140.12349739475593
 },
 {
  ""lat"": 35.88510382418989,
  ""lng"": 140.1301921884571
 }
]"
"a17TL0000Pk7OAVYQ2","ffffff","04miyagi_s.geojson","0","7f07b6","a1F7F00000EQvZPUA1","[
 {
  ""lat"": 35.919246361888376,
  ""lng"": 140.12917722821393
 },
 {
  ""lat"": 35.89888183015745,
  ""lng"": 140.13286604161885
 },
 {
  ""lat"": 35.894084293221674,
  ""lng"": 140.12681497808126
 },
 {
  ""lat"": 35.88966891174441,
  ""lng"": 140.12870325322774
 },
 {
  ""lat"": 35.89060763550308,
  ""lng"": 140.1333810257497
 },
 {
  ""lat"": 35.88827818942332,
  ""lng"": 140.13475431676534
 },
 {
  ""lat"": 35.89112914389337,
  ""lng"": 140.14260782476094
 },
 {
  ""lat"": 35.89359757033178,
  ""lng"": 140.1459123062673
 },
 {
  ""lat"": 35.8932499092926,
  ""lng"": 140.1520921158376
 },
 {
  ""lat"": 35.8978041479062,
  ""lng"": 140.14891638036397
 },
 {
  ""lat"": 35.903957168643345,
  ""lng"": 140.14835848088887
 },
 {
  ""lat"": 35.91000543463203,
  ""lng"": 140.14621271367696
 },
 {
  ""lat"": 35.913203181534,
  ""lng"": 140.13788713689473
 },
 {
  ""lat"": 35.91487151991408,
  ""lng"": 140.13385309453633
 }
]"
