"ID","MapTech__FILCOLOR__C","MapTech__GYOUSEIKUBUN__C","MapTech__LAYERFILOPTICALLY__C","MapTech__LINECOLOR__C","MapTech__MAPTECHUSERID__C","MapTech__POLYGON_LATLNGINFO__C"
"a17TL00009M7iDUYAZ","c8c1c1","08ibaraki_s.geojson","0","d992ca","a1F7F00000EQvKQUA1","[
 {
  ""lat"": 36.8215458107339,
  ""lng"": 139.98239227745037
 },
 {
  ""lat"": 36.8215458107339,
  ""lng"": 140.0134629866789
 }
]"
"a17TL00009M7s8vYAB","000000","24mie_s.geojson","0","506fce","a1F7F00000D1wlWUAR","[
 {
  ""lat"": 36.66118721045712,
  ""lng"": 139.97873735768897
 },
 {
  ""lat"": 36.65381972739059,
  ""lng"": 139.97908068044288
 },
 {
  ""lat"": 36.654095160004005,
  ""lng"": 139.96594858510596
 },
 {
  ""lat"": 36.66139376524181,
  ""lng"": 139.96757936818702
 }
]"
"a17TL00009MFd6DYAT","000000","24mie_s.geojson","0","506fce","a1F7F00000D1wlWUAR","[
 {
  ""lat"": 36.65389224906204,
  ""lng"": 139.978927363762
 },
 {
  ""lat"": 36.65396110724288,
  ""lng"": 139.99446271837627
 },
 {
  ""lat"": 36.66098431820647,
  ""lng"": 139.99459146440898
 },
 {
  ""lat"": 36.66101874413312,
  ""lng"": 139.97862695635234
 }
]"
"a17TL00009MGCb3YAH","000000","24mie_s.geojson","0","506fce","a1F7F00000D1wlWUAR","[
 {
  ""lat"": 36.65391160916917,
  ""lng"": 139.99441746506898
 },
 {
  ""lat"": 36.6538771800643,
  ""lng"": 140.0095665815851
 },
 {
  ""lat"": 36.660590564313146,
  ""lng"": 140.00896576676575
 },
 {
  ""lat"": 36.66090039868381,
  ""lng"": 139.99437454972474
 }
]"
"a17TL00009MKjLJYA1","c8c1c1","08ibaraki_s.geojson","0","d992ca","a1F7F00000EQvKQUA1","[
 {
  ""lat"": 36.816154780705574,
  ""lng"": 139.9869035420311
 },
 {
  ""lat"": 36.816498344062325,
  ""lng"": 140.0135968861473
 }
]"
"a17TL00009MLdZXYA1","c8c1c1","08ibaraki_s.geojson","0","d992ca","a1F7F00000EQvKQUA1","[
 {
  ""lat"": 36.81080230613217,
  ""lng"": 139.98876911762832
 },
 {
  ""lat"": 36.81097410001476,
  ""lng"": 140.01370293263076
 }
]"
"a17TL00009MO8QLYA1","c8c1c1","08ibaraki_s.geojson","0","d992ca","a1F7F00000EQvKQUA1","[
 {
  ""lat"": 36.80524055016284,
  ""lng"": 140.01373724160166
 },
 {
  ""lat"": 36.805171827510065,
  ""lng"": 139.9925799768922
 }
]"
"a17TL00009MPH6BYAX","000000","24mie_s.geojson","0","506fce","a1F7F00000D1wlWUAR","[
 {
  ""lat"": 36.65410104775628,
  ""lng"": 140.00927412635485
 },
 {
  ""lat"": 36.653274747023474,
  ""lng"": 140.02429449683825
 },
 {
  ""lat"": 36.66016031550887,
  ""lng"": 140.02369368201892
 },
 {
  ""lat"": 36.66064228224036,
  ""lng"": 140.00790083533923
 }
]"
